    
   HH* 
   HH*,HN* 
   HN* 
* *  HN*,HG*,HL* 
* * * BHZ 
* * * BHZ,HHZ 
AU AS08,WTPK,MABG,WR4,WB9,WB2,WR3,AS05,WR1,WR5,AS02,WC2,CTA,WR2,WB7,AS13,AS19,WC1,AS15,YARR,WB10,AS09,AS14,WC4,AS06,WR6,AS16,WR9,AS03,AS12,WB4,MAW,FITZ,AS18,OKDL,WB1,AS17,WR8,NWAO,AS07,WR10,WR7,WB8,AS10,AS04,AS11,WB5,STKA,AS01,WC3,WB6,AS31,PHB,WB3,CATI  BH?,HH?,SH?,HN?,EH? 
GE BANI  BH?,HH? 
IM ZAB3,LPAZB,ZAA2,TOB1,YKW1,YKB6,YKW4,TOA2,ZAB5,YKB1,YKR5,MK32,ZAB2,YKB2,YKR6,ZAA1,ZAB1,YKB7,BOSAB,TOA3,ZAB4,YKR1,PLCAB,ZAA0,TOB4,YKR2,YKB3,TOB3,YKW3,TOB5,YKB9,YKB4,BATI,TOA1,ZAA3,YKR3,YKB0,YKR9,TOB2,YKW2  BH?,HH?,SH? 
NZ    
NZ   BN? 
NZ   BN?,HN? 
NZ *   
NZ SLRC 20 HNZ 
NZ SMHS 20 HN1 
NZ SMHS 20 HNZ 
NZ SMTC 20 HN1 
NZ SMTC 20 HN2 
NZ SMTC 20 HNZ 
NZ SOMS 20 HN1 
NZ SOMS 20 HN2 
NZ SOMS 20 HNZ 
NZ SPRS 20 HN1 
NZ SPRS 20 HN2 
NZ SPRS 20 HNZ 
NZ STKS 20 HN1 
NZ STKS 20 HN2 
NZ STKS 20 HNZ 
NZ SUMS 20 HN1 
NZ SUMS 20 HN2 
NZ SUMS 20 HNZ 
NZ SWNC 20 HN1 
NZ SWNC 20 HN2 
NZ SWNC 20 HNZ 
NZ SYZ 10 HHZ 
NZ SYZ 20 HNE 
NZ SYZ 20 HNN 
NZ SYZ 20 HNZ 
NZ TAFS 20 HN1 
NZ TAFS 20 HN2 
NZ TAFS 20 HNZ 
NZ TAIS 20 HN1 
NZ TAIS 20 HN2 
NZ TAIS 20 HNZ 
NZ TBAS 20 HN1 
NZ TBAS 20 HN2 
NZ TBAS 20 HNZ 
NZ TCW 20 HNE 
NZ TCW 20 HNN 
NZ TCW 20 HNZ 
NZ TDHS 20 HN1 
NZ TDHS 20 HN2 
NZ TDHS 20 HNZ 
NZ TEPS 20 HN1 
NZ TEPS 20 HN2 
NZ TEPS 20 HNZ 
NZ THHS 20 HN1 
NZ THHS 20 HN2 
NZ THHS 20 HNZ 
NZ THZ  * 
NZ THZ 10 HHZ 
NZ THZ 20 HNE 
NZ THZ 20 HNN 
NZ THZ 20 HNZ 
NZ TIRS 20 HN1 
NZ TIRS 20 HN2 
NZ TIRS 20 HNZ 
NZ TKAS 20 HN1 
NZ TKAS 20 HN2 
NZ TKAS 20 HNZ 
NZ TKHS 20 HN1 
NZ TKHS 20 HN2 
NZ TKHS 20 HNZ 
NZ TLZ 10 HHZ 
NZ TMBS 20 HN1 
NZ TMBS 20 HN2 
NZ TMBS 20 HNZ 
NZ TMHS 20 HN1 
NZ TMHS 20 HN2 
NZ TMHS 20 HNZ 
NZ TMVZ 10 HHZ 
NZ TOKS 20 HN1 
NZ TOKS 20 HN2 
NZ TOKS 20 HNZ 
NZ TOTS 20 HN1 
NZ TOTS 20 HN2 
NZ TOTS 20 HNZ 
NZ TOZ 10 HHE 
NZ TOZ 10 HHN 
NZ TOZ 10 HHZ 
NZ TPLC 20 HN1 
NZ TPLC 20 HN2 
NZ TPLC 20 HNZ 
NZ TPPS 21 HN1 
NZ TPPS 21 HN2 
NZ TPPS 21 HNZ 
NZ TRMS 20 HN1 
NZ TRMS 20 HN2 
